,Id,住宅类型,住宅区域,街道接触面积(英尺),住宅面积,街道路面状况,巷子路面状况,住宅形状(大概),住宅现状,水电气,住宅配置,住宅视野,社区,住宅周边1,住宅周边2,适用家庭,住宅房型,装修质量,整体质量,建造年份,法律拆除年份,天花板类型,天花板材料,户外装饰1,户外装饰2,砖墙类型,砖墙面积,户外材料质量,户外装修质量,地下室类型,地下室深度,地下室质量,花园外墙,地下室现状1,地下室一层标准面积,地下室现状2,地下室二层标准面积,地下室建造现状,整体地下室面积,暖气类型,暖气质量,中央空调,电力系统,二楼面积,三楼面积,全低质量面积,户外活动空间面积,全卫地下室,半卫地下室,全卫及以上,半卫及以上,卧室及以上,厨房及以上,厨房质量,总房间量,住宅性能,壁炉数量,壁炉质量,车库类型,车库建造时间,车库装修现状,车位数量,车库面积,车库质量,车库现状,石板路,木板面积,开放式门廊面积,关闭式门廊面积,三季门廊面积,半开放式门廊面积,泳池面积,泳池质量,篱笆质量,其他配置,其他配置的价值,销售月份,销售年份,销售类型,销售状态,SalePrice
10,10.0,0.0,3.0,41.0,691.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,19.0,2.0,2.0,0.0,2.0,4.0,4.0,66.0,15.0,3.0,1.0,6.0,6.0,2.0,0.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,458.0,5.0,0.0,63.0,300.0,1.0,0.0,1.0,4.0,266.0,0.0,0.0,125.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,3.0,6.0,0.0,0.0,5.0,51.0,2.0,1.0,91.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,4.0,129500
11,11.0,5.0,3.0,56.0,769.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,16.0,2.0,2.0,0.0,5.0,8.0,4.0,106.0,56.0,3.0,1.0,14.0,15.0,3.0,186.0,0.0,4.0,2.0,0.0,3.0,3.0,2.0,493.0,5.0,0.0,95.0,387.0,1.0,0.0,1.0,4.0,374.0,352.0,0.0,763.0,1.0,0.0,3.0,0.0,4.0,1.0,0.0,9.0,6.0,2.0,2.0,3.0,91.0,0.0,3.0,332.0,4.0,4.0,2.0,81.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0,345000
12,12.0,0.0,3.0,0.0,853.0,1.0,0.0,1.0,3.0,0.0,4.0,0.0,19.0,2.0,2.0,0.0,2.0,4.0,5.0,63.0,12.0,3.0,1.0,6.0,10.0,2.0,0.0,3.0,4.0,1.0,3.0,3.0,3.0,0.0,376.0,5.0,0.0,93.0,209.0,1.0,4.0,1.0,4.0,172.0,0.0,0.0,69.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,6.0,0.0,0.0,5.0,48.0,2.0,1.0,76.0,4.0,4.0,2.0,74.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,4.0,144000
13,13.0,0.0,3.0,62.0,630.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,2.0,6.0,4.0,107.0,57.0,1.0,1.0,12.0,13.0,3.0,203.0,2.0,4.0,2.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,724.0,557.0,1.0,0.0,1.0,4.0,545.0,0.0,0.0,393.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,5.0,6.0,1.0,2.0,1.0,92.0,1.0,3.0,382.0,4.0,4.0,2.0,91.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,5.0,279500
14,14.0,0.0,3.0,0.0,661.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,2.0,5.0,4.0,61.0,10.0,3.0,1.0,8.0,8.0,1.0,139.0,3.0,4.0,1.0,3.0,3.0,3.0,1.0,373.0,5.0,0.0,334.0,435.0,1.0,4.0,1.0,4.0,422.0,0.0,0.0,255.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,46.0,1.0,1.0,76.0,4.0,4.0,2.0,0.0,162.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,8.0,4.0,157000
15,15.0,3.0,4.0,22.0,138.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,6.0,7.0,33.0,51.0,1.0,1.0,13.0,14.0,2.0,0.0,3.0,4.0,0.0,3.0,3.0,3.0,5.0,0.0,5.0,0.0,516.0,164.0,1.0,0.0,1.0,0.0,132.0,0.0,0.0,46.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,6.0,0.0,0.0,5.0,77.0,2.0,2.0,240.0,4.0,4.0,2.0,15.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,8.0,4.0,132000
16,16.0,0.0,3.0,0.0,699.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,12.0,2.0,2.0,0.0,2.0,5.0,6.0,71.0,20.0,1.0,1.0,13.0,14.0,1.0,119.0,3.0,4.0,1.0,3.0,3.0,3.0,0.0,281.0,5.0,0.0,271.0,279.0,1.0,0.0,1.0,4.0,243.0,0.0,0.0,111.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,6.0,1.0,4.0,1.0,56.0,0.0,2.0,166.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,4.0,8.0,4.0,149000
17,17.0,10.0,3.0,43.0,649.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,19.0,2.0,2.0,2.0,2.0,3.0,4.0,68.0,17.0,1.0,1.0,8.0,8.0,2.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,447.0,0.0,0.0,277.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,4.0,6.0,0.0,0.0,4.0,53.0,2.0,2.0,196.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,9.0,0.0,8.0,4.0,90000
18,18.0,0.0,3.0,37.0,897.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,20.0,5.0,2.0,0.0,2.0,4.0,4.0,105.0,54.0,1.0,1.0,12.0,13.0,2.0,0.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,323.0,5.0,0.0,303.0,351.0,1.0,0.0,1.0,4.0,322.0,0.0,0.0,169.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,4.0,6.0,0.0,0.0,5.0,90.0,2.0,2.0,240.0,4.0,4.0,2.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,4.0,159000
19,19.0,0.0,3.0,41.0,231.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,12.0,2.0,2.0,0.0,2.0,4.0,5.0,59.0,15.0,3.0,1.0,3.0,10.0,2.0,0.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,231.0,5.0,0.0,337.0,295.0,1.0,4.0,1.0,4.0,472.0,0.0,0.0,300.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,44.0,2.0,1.0,46.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,139000
20,20.0,5.0,3.0,72.0,922.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,2.0,2.0,0.0,5.0,7.0,4.0,106.0,56.0,1.0,1.0,12.0,13.0,1.0,234.0,2.0,4.0,2.0,0.0,3.0,0.0,5.0,0.0,5.0,0.0,646.0,380.0,1.0,0.0,1.0,4.0,357.0,372.0,0.0,776.0,0.0,0.0,3.0,1.0,4.0,1.0,2.0,7.0,6.0,1.0,2.0,3.0,91.0,1.0,3.0,390.0,4.0,4.0,2.0,154.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,5.0,325300
21,21.0,3.0,4.0,28.0,225.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,9.0,2.0,2.0,0.0,1.0,6.0,6.0,34.0,0.0,1.0,1.0,13.0,14.0,2.0,0.0,3.0,4.0,2.0,3.0,3.0,3.0,5.0,0.0,5.0,0.0,400.0,55.0,1.0,0.0,1.0,1.0,318.0,0.0,0.0,163.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,4.0,6.0,1.0,2.0,1.0,18.0,2.0,1.0,36.0,4.0,4.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,8.0,4.0,139400
22,22.0,0.0,3.0,46.0,508.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,2.0,7.0,4.0,103.0,52.0,3.0,1.0,12.0,13.0,1.0,183.0,2.0,4.0,2.0,2.0,3.0,3.0,5.0,0.0,5.0,0.0,764.0,658.0,1.0,0.0,1.0,4.0,678.0,0.0,0.0,575.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,5.0,6.0,1.0,2.0,1.0,88.0,1.0,2.0,211.0,4.0,4.0,2.0,100.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,4.0,230000
23,23.0,11.0,4.0,15.0,70.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,10.0,2.0,2.0,4.0,2.0,4.0,6.0,77.0,26.0,1.0,1.0,5.0,5.0,2.0,0.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,429.0,5.0,0.0,112.0,300.0,1.0,4.0,1.0,4.0,281.0,0.0,0.0,136.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,4.0,6.0,1.0,4.0,1.0,62.0,2.0,2.0,236.0,4.0,4.0,2.0,46.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,8.0,4.0,129900
24,24.0,0.0,3.0,0.0,306.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,19.0,2.0,2.0,0.0,2.0,4.0,7.0,69.0,51.0,1.0,1.0,9.0,10.0,2.0,0.0,3.0,2.0,1.0,3.0,3.0,2.0,4.0,51.0,0.0,116.0,115.0,314.0,1.0,0.0,1.0,4.0,281.0,0.0,0.0,136.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,4.0,6.0,1.0,4.0,1.0,54.0,2.0,1.0,31.0,4.0,4.0,2.0,239.0,75.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,8.0,4.0,154000
25,25.0,0.0,3.0,81.0,924.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,16.0,2.0,2.0,0.0,2.0,7.0,4.0,108.0,57.0,1.0,1.0,12.0,13.0,3.0,296.0,2.0,4.0,2.0,2.0,3.0,3.0,5.0,0.0,5.0,0.0,735.0,585.0,1.0,0.0,1.0,4.0,600.0,0.0,0.0,459.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,5.0,6.0,1.0,2.0,1.0,93.0,1.0,3.0,409.0,4.0,4.0,2.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,8.0,4.0,256300
26,26.0,0.0,3.0,31.0,202.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,2.0,4.0,6.0,52.0,50.0,1.0,1.0,13.0,14.0,2.0,0.0,3.0,4.0,1.0,3.0,3.0,2.0,1.0,76.0,4.0,90.0,98.0,203.0,1.0,4.0,1.0,4.0,163.0,0.0,0.0,63.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,3.0,6.0,0.0,0.0,5.0,91.0,2.0,2.0,240.0,4.0,4.0,2.0,141.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,4.0,134800
27,27.0,0.0,3.0,69.0,731.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,16.0,2.0,2.0,0.0,2.0,7.0,4.0,108.0,58.0,1.0,1.0,12.0,13.0,3.0,129.0,2.0,4.0,2.0,0.0,3.0,3.0,2.0,557.0,5.0,0.0,315.0,639.0,1.0,0.0,1.0,4.0,651.0,0.0,0.0,527.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,5.0,6.0,1.0,2.0,1.0,94.0,1.0,3.0,350.0,4.0,4.0,2.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,4.0,306000
28,28.0,0.0,3.0,18.0,981.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,12.0,2.0,2.0,0.0,2.0,4.0,5.0,58.0,47.0,1.0,1.0,8.0,8.0,2.0,0.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,573.0,5.0,0.0,116.0,551.0,1.0,4.0,1.0,4.0,600.0,0.0,0.0,459.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,4.0,6.0,2.0,2.0,1.0,43.0,1.0,1.0,61.0,4.0,4.0,2.0,180.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,4.0,207500
29,29.0,1.0,4.0,31.0,150.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,1.0,7.0,0.0,2.0,3.0,5.0,31.0,0.0,1.0,1.0,8.0,8.0,2.0,0.0,3.0,4.0,0.0,3.0,3.0,3.0,5.0,0.0,5.0,0.0,334.0,21.0,1.0,1.0,0.0,4.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,5.0,8.0,2.0,1.0,19.0,1.0,4.0,2.0,16.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,4.0,68500
30,30.0,6.0,0.0,21.0,337.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,9.0,1.0,2.0,0.0,5.0,3.0,3.0,24.0,0.0,2.0,1.0,3.0,3.0,2.0,0.0,3.0,1.0,0.0,3.0,3.0,3.0,5.0,0.0,5.0,0.0,406.0,59.0,1.0,4.0,0.0,4.0,26.0,128.0,0.0,289.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,4.0,6.0,0.0,0.0,5.0,8.0,2.0,1.0,23.0,4.0,1.0,0.0,0.0,42.0,67.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,8.0,4.0,40000
31,31.0,0.0,3.0,0.0,345.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,19.0,2.0,2.0,0.0,2.0,4.0,5.0,67.0,56.0,1.0,1.0,6.0,6.0,2.0,0.0,3.0,4.0,1.0,3.0,3.0,3.0,5.0,0.0,5.0,0.0,662.0,420.0,1.0,2.0,1.0,4.0,405.0,0.0,0.0,238.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,4.0,6.0,0.0,0.0,1.0,52.0,2.0,1.0,32.0,4.0,4.0,2.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,8.0,4.0,149350
32,32.0,0.0,3.0,56.0,674.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,2.0,7.0,4.0,108.0,57.0,1.0,1.0,12.0,13.0,2.0,0.0,2.0,4.0,2.0,0.0,3.0,0.0,5.0,0.0,5.0,0.0,664.0,422.0,1.0,0.0,1.0,4.0,408.0,0.0,0.0,242.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,5.0,6.0,0.0,0.0,1.0,93.0,1.0,2.0,170.0,4.0,4.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,179900
33,33.0,0.0,3.0,41.0,614.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,12.0,2.0,2.0,0.0,2.0,4.0,4.0,60.0,9.0,3.0,1.0,3.0,3.0,2.0,0.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,503.0,5.0,0.0,237.0,512.0,1.0,2.0,1.0,4.0,648.0,0.0,0.0,524.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,6.0,1.0,2.0,1.0,45.0,1.0,2.0,138.0,4.0,4.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,4.0,165500
34,34.0,11.0,3.0,31.0,211.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,16.0,2.0,2.0,4.0,2.0,8.0,4.0,106.0,55.0,3.0,1.0,8.0,8.0,1.0,161.0,0.0,4.0,2.0,0.0,3.0,3.0,2.0,538.0,5.0,0.0,256.0,582.0,1.0,0.0,1.0,4.0,582.0,0.0,0.0,437.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,4.0,6.0,1.0,2.0,1.0,91.0,0.0,2.0,226.0,4.0,4.0,2.0,128.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,8.0,4.0,277500
35,35.0,5.0,3.0,79.0,876.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,16.0,2.0,2.0,0.0,5.0,7.0,4.0,105.0,55.0,1.0,1.0,12.0,13.0,3.0,81.0,2.0,4.0,2.0,0.0,3.0,0.0,5.0,0.0,5.0,0.0,633.0,353.0,1.0,0.0,1.0,4.0,336.0,389.0,0.0,788.0,0.0,0.0,3.0,1.0,4.0,1.0,2.0,7.0,6.0,1.0,2.0,3.0,90.0,0.0,3.0,313.0,4.0,4.0,2.0,54.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,4.0,309000
36,36.0,0.0,3.0,83.0,656.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,2.0,4.0,4.0,95.0,45.0,1.0,1.0,12.0,13.0,2.0,0.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,0.0,5.0,0.0,627.0,338.0,1.0,0.0,1.0,4.0,310.0,0.0,0.0,157.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,4.0,6.0,0.0,0.0,1.0,81.0,2.0,2.0,300.0,4.0,4.0,2.0,233.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,4.0,145000
37,37.0,0.0,3.0,45.0,343.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,12.0,2.0,2.0,0.0,2.0,4.0,5.0,55.0,40.0,3.0,1.0,13.0,14.0,1.0,297.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,555.0,5.0,0.0,29.0,461.0,1.0,2.0,1.0,4.0,448.0,0.0,0.0,278.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,3.0,6.0,1.0,4.0,1.0,40.0,0.0,2.0,180.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,8.0,4.0,153000
38,38.0,0.0,3.0,39.0,269.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,12.0,2.0,2.0,0.0,2.0,4.0,6.0,54.0,57.0,1.0,1.0,12.0,13.0,2.0,0.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,371.0,5.0,0.0,202.0,311.0,1.0,4.0,1.0,4.0,279.0,0.0,0.0,135.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,3.0,6.0,0.0,0.0,5.0,39.0,2.0,1.0,21.0,4.0,4.0,2.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,109000
